Cuisine,Dish Name,Ingredients,Procedure
Australian,Meat Pie,"minced meat, onions, gravy, puff pastry, salt, pepper, herbs","Cook minced meat with onions and herbs in gravy. Fill puff pastry rounds with the mixture, seal and bake until golden."
Moroccan,Chicken Tagine,"chicken, preserved lemons, olives, onions, garlic, ginger, saffron, cinnamon, olive oil, salt, pepper, cilantro","Brown chicken in olive oil, add onions, garlic, ginger, saffron, and cinnamon. Stir in preserved lemons and olives, then simmer until tender. Garnish with cilantro."
Peruvian,Peruvian Specialty,"Peruvian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Peruvian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Kazakh,Kazakh Specialty,"Kazakh spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kazakh spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Syrian,Syrian Specialty,"Syrian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Syrian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Palestinian,Palestinian Specialty,"Palestinian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Palestinian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Syrian,Syrian Specialty,"Syrian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Syrian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Peranakan,Peranakan Specialty,"Peranakan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Peranakan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Moroccan,Chicken Tagine,"chicken, preserved lemons, olives, onions, garlic, ginger, saffron, cinnamon, olive oil, salt, pepper, cilantro","Brown chicken in olive oil, add onions, garlic, ginger, saffron, and cinnamon. Stir in preserved lemons and olives, then simmer until tender. Garnish with cilantro."
Colombian,Ajiaco,"chicken, potatoes, corn, guasca, cream, capers, avocado, garlic, salt, pepper","Simmer chicken and a mix of potatoes with garlic and guasca until tender. Serve with cream, capers, and avocado."
Spanish,Paella,"rice, saffron, chicken, seafood, chorizo, bell peppers, peas, tomatoes, onions, garlic, chicken broth, olive oil, salt","Brown chicken and chorizo, then sauté onions, garlic, and peppers. Add rice with saffron-infused broth, arrange seafood and peas on top, and simmer until the rice is done."
Thai,Pad Thai,"rice noodles, shrimp, eggs, bean sprouts, peanuts, tamarind paste, fish sauce, garlic, lime, chili flakes, oil","Soak rice noodles until soft. Stir-fry garlic and shrimp, add eggs and noodles, then toss with tamarind sauce, bean sprouts, and peanuts. Finish with lime and chili flakes."
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Greek,Greek Salad,"tomatoes, cucumbers, red onions, olives, feta cheese, olive oil, oregano, salt, pepper","Chop vegetables and combine with olives and feta. Drizzle with olive oil, season with oregano, salt, and pepper, then toss gently."
Lebanese,Tabbouleh,"bulgur wheat, parsley, mint, tomatoes, cucumbers, lemon juice, olive oil, salt, pepper","Soak bulgur wheat until soft, then mix with finely chopped parsley, mint, tomatoes, and cucumbers. Season with lemon juice, olive oil, salt, and pepper."
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Algerian,Algerian Specialty,"Algerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Algerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Thai,Green Curry,"chicken, green curry paste, coconut milk, bamboo shoots, Thai basil, bell peppers, fish sauce, sugar, oil","Sauté green curry paste in oil, add chicken and cook until sealed. Pour in coconut milk with bamboo shoots and peppers, simmer, then season with fish sauce and sugar. Garnish with basil."
Palestinian,Palestinian Specialty,"Palestinian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Palestinian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Chilean,Empanadas,"flour, beef, onions, olives, raisins, hard-boiled egg, cumin, paprika, salt, pepper, oil","Prepare dough from flour and water. Cook beef with onions and spices, then fill dough rounds with the mixture, fold and bake until golden."
Swedish,Swedish Meatballs,"ground beef, ground pork, breadcrumbs, egg, onions, cream, allspice, salt, pepper, butter","Mix meats with breadcrumbs, egg, and spices. Form small meatballs, fry until browned, and serve with a creamy sauce."
Australian,Australian Specialty,"Australian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Australian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
South African,Bobotie,"ground beef, onions, bread, milk, eggs, curry powder, dried fruit, bay leaves, salt, pepper","Sauté onions with ground beef and spices. Soak bread in milk and eggs, layer with meat mixture, top with bay leaves, and bake until set."
Armenian,Armenian Specialty,"Armenian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Armenian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Spanish,Paella,"rice, saffron, chicken, seafood, chorizo, bell peppers, peas, tomatoes, onions, garlic, chicken broth, olive oil, salt","Brown chicken and chorizo, then sauté onions, garlic, and peppers. Add rice with saffron-infused broth, arrange seafood and peas on top, and simmer until the rice is done."
Spanish,Tortilla Española,"potatoes, eggs, onions, olive oil, salt, pepper","Thinly slice potatoes and onions, fry in olive oil until soft. Mix with beaten eggs, then cook slowly until set."
French,Ratatouille,"eggplant, zucchini, bell peppers, tomatoes, onions, garlic, olive oil, thyme, basil, salt, pepper","Slice vegetables evenly, sauté onions and garlic in olive oil, add vegetables and herbs, and simmer until tender."
Greek,Greek Specialty,"Greek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Greek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Portuguese,Portuguese Specialty,"Portuguese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Portuguese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Vietnamese,Vietnamese Specialty,"Vietnamese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Vietnamese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Romanian,Romanian Specialty,"Romanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Romanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Syrian,Syrian Specialty,"Syrian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Syrian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Turkmen,Turkmen Specialty,"Turkmen spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Turkmen spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Indian,Butter Chicken,"chicken, butter, tomato puree, heavy cream, garlic, ginger, garam masala, cumin, coriander, turmeric, chili powder, salt","Marinate chicken with yogurt and spices. Sauté garlic and ginger in butter, add tomato puree and spices, then simmer. Add chicken and cream; cook until tender."
Latvian,Latvian Specialty,"Latvian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Latvian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Hungarian,Hungarian Specialty,"Hungarian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Hungarian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Italian,Spaghetti Carbonara,"spaghetti, pancetta, eggs, Parmesan cheese, black pepper, salt","Cook spaghetti until al dente. Fry pancetta until crisp. Mix eggs and cheese, then combine with hot pasta off the heat to create a creamy sauce. Season with pepper."
Scandinavian,Gravlax,"salmon, salt, sugar, dill, white pepper","Cure salmon with a mixture of salt, sugar, dill, and white pepper for several days. Slice thinly and serve with mustard sauce."
Pakistani,Pakistani Specialty,"Pakistani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Pakistani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Israeli,Israeli Specialty,"Israeli spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Israeli spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Malaysian,Nasi Lemak,"rice, coconut milk, pandan leaves, anchovies, peanuts, boiled egg, sambal, cucumber, salt","Cook rice in coconut milk with pandan leaves. Fry anchovies and peanuts. Serve rice with boiled egg, sambal, and cucumber slices."
Estonian,Estonian Specialty,"Estonian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Estonian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
British,Bangers and Mash,"sausages, potatoes, butter, milk, onions, salt, pepper","Cook sausages until browned. Boil potatoes and mash with butter and milk, then top with sautéed onions."
Georgian,Georgian Specialty,"Georgian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Georgian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mexican,Mexican Specialty,"Mexican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mexican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Irish,Irish Specialty,"Irish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Irish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Dominican,Dominican Specialty,"Dominican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Dominican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Croatian,Croatian Specialty,"Croatian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Croatian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
